name,1,2,3,4,5,N
ТАТАР,2863,16792,3275,90,676,23696
ТОМСК,1831,1302,1503,13,135,4784
МОРДОВ,734,2113,296,0,99,3242
ЕАО,209,22,4,0,1,236
АСТРХН,56,1633,178,0,55,1922
МУМРМ,597,655,167,1,1,1421
СТАВРП,4463,178,12,1,36,4690
КРЫМ,213,976,699,23,19,1930
ЯНАО,237,191,137,0,15,580
КРСНД,3493,2328,264,23,50,6158
ЧУКОТ,11,16,4,1,0,32
ИВАНВ,381,599,594,0,54,1628
ЛИПЕЦК,750,799,384,4,61,1998
ЗАБЙКЛ,525,1329,164,1,30,2049
АДЫГЕЯ,36,111,202,55,20,424
КОСТРМ,253,381,344,1,38,1017
БАШКИР,3493,3483,199,0,596,7771
САРАТВ,2009,1656,388,8,32,4093
ЧЕЛЯБН,814,2732,631,20,19,4216
ПЕРМСК,666,1273,437,10,146,2532
